userID,recency,frequency,quantity_avg,quantity_total,R,F,RF_Segment_Concat,RF_Score,RF_Level
126,77,21,1.1428571428571428,24,1,3,13,4,1
127,62,13,1.0769230769230769,14,1,2,12,3,1
128,39,7,1.1428571428571428,8,2,1,21,3,1
129,24,14,1.7142857142857142,24,2,2,22,4,1
130,20,41,1.170731707317073,48,3,4,34,7,3
131,27,15,1.1333333333333333,17,2,2,22,4,1
132,85,1,4.0,4,1,1,11,2,0
133,96,16,1.25,20,1,2,12,3,1
134,4,26,1.6153846153846154,42,4,3,43,7,3
135,21,36,1.5833333333333333,57,3,4,34,7,3
136,4,31,1.1290322580645162,35,4,4,44,8,3
137,47,2,1.0,2,1,1,11,2,0
138,2,9,1.0,9,4,1,41,5,2
139,52,14,2.7857142857142856,39,1,2,12,3,1
140,45,1,3.0,3,1,1,11,2,0
141,36,26,1.4230769230769231,37,2,3,23,5,2
142,19,12,1.3333333333333333,16,3,2,32,5,2
143,21,21,1.2857142857142858,27,3,3,33,6,2
144,97,16,1.0,16,1,2,12,3,1
145,23,20,1.25,25,2,3,23,5,2
146,37,4,1.0,4,2,1,21,3,1
147,24,4,1.75,7,2,1,21,3,1
148,11,16,1.25,20,4,2,42,6,2
149,9,14,1.5714285714285714,22,4,2,42,6,2
150,31,10,2.2,22,2,1,21,3,1
151,18,51,1.2156862745098038,62,3,4,34,7,3
152,61,9,1.2222222222222223,11,1,1,11,2,0
153,2,34,1.1764705882352942,40,4,4,44,8,3
154,39,24,2.75,66,2,3,23,5,2
155,19,37,1.6486486486486487,61,3,4,34,7,3
156,20,28,1.5,42,3,4,34,7,3
157,87,14,1.7857142857142858,25,1,2,12,3,1
158,35,25,1.68,42,2,3,23,5,2
159,26,4,1.25,5,2,1,21,3,1
160,11,28,1.2857142857142858,36,4,4,44,8,3
161,35,18,1.2222222222222223,22,2,3,23,5,2
162,48,5,1.2,6,1,1,11,2,0
163,65,16,1.1875,19,1,2,12,3,1
164,56,29,1.6206896551724137,47,1,4,14,5,2
165,123,1,1.0,1,1,1,11,2,0
166,168,4,1.0,4,1,1,11,2,0
167,6,22,1.0454545454545454,23,4,3,43,7,3
168,27,17,1.1176470588235294,19,2,2,22,4,1
169,41,23,1.434782608695652,33,1,3,13,4,1
170,5,59,1.305084745762712,77,4,4,44,8,3
171,16,16,1.6875,27,3,2,32,5,2
172,4,26,1.1153846153846154,29,4,3,43,7,3
173,21,18,1.2777777777777777,23,3,3,33,6,2
174,12,15,1.6666666666666667,25,4,2,42,6,2
175,27,20,1.25,25,2,3,23,5,2
176,71,12,1.9166666666666667,23,1,2,12,3,1
177,11,14,1.0,14,4,2,42,6,2
178,36,12,1.25,15,2,2,22,4,1
179,50,7,1.0,7,1,1,11,2,0
180,104,14,1.7142857142857142,24,1,2,12,3,1
181,202,3,3.3333333333333335,10,1,1,11,2,0
182,6,28,1.1428571428571428,32,4,4,44,8,3
183,33,15,1.0,15,2,2,22,4,1
184,33,18,1.2777777777777777,23,2,3,23,5,2
185,26,30,1.2666666666666666,38,2,4,24,6,2
186,10,34,1.2941176470588236,44,4,4,44,8,3
187,33,18,1.5,27,2,3,23,5,2
188,39,18,1.0,18,2,3,23,5,2
189,48,14,1.2857142857142858,18,1,2,12,3,1
190,42,14,1.8571428571428572,26,1,2,12,3,1
191,16,19,1.1578947368421053,22,3,3,33,6,2
192,33,40,1.275,51,2,4,24,6,2
193,33,15,1.3333333333333333,20,2,2,22,4,1
194,42,4,1.75,7,1,1,11,2,0
195,33,11,1.6363636363636365,18,2,2,22,4,1
196,41,11,1.3636363636363635,15,1,2,12,3,1
197,5,58,1.7413793103448276,101,4,4,44,8,3
198,71,14,1.5,21,1,2,12,3,1
199,17,11,1.1818181818181819,13,3,2,32,5,2
200,1,20,1.2,24,4,3,43,7,3
201,121,9,1.6666666666666667,15,1,1,11,2,0
202,38,35,1.2,42,2,4,24,6,2
203,12,7,1.2857142857142858,9,4,1,41,5,2
204,26,14,1.0714285714285714,15,2,2,22,4,1
205,15,31,1.3870967741935485,43,3,4,34,7,3
206,19,36,1.25,45,3,4,34,7,3
207,41,16,1.0,16,1,2,12,3,1
208,5,8,1.0,8,4,1,41,5,2
209,17,52,1.0576923076923077,55,3,4,34,7,3
210,6,20,1.35,27,4,3,43,7,3
211,91,3,1.0,3,1,1,11,2,0
212,1,35,2.142857142857143,75,4,4,44,8,3
213,40,13,1.6153846153846154,21,1,2,12,3,1
214,13,17,1.2941176470588236,22,3,2,32,5,2
215,26,41,1.0731707317073171,44,2,4,24,6,2
216,177,5,1.0,5,1,1,11,2,0
217,2,9,1.1111111111111112,10,4,1,41,5,2
218,3,27,1.1111111111111112,30,4,4,44,8,3
219,10,7,1.8571428571428572,13,4,1,41,5,2
220,30,18,1.9444444444444444,35,2,3,23,5,2
221,13,13,1.3076923076923077,17,3,2,32,5,2
222,68,24,1.1666666666666667,28,1,3,13,4,1
223,9,23,1.565217391304348,36,4,3,43,7,3
224,6,32,1.15625,37,4,4,44,8,3
225,3,33,1.3636363636363635,45,4,4,44,8,3
226,52,18,1.8333333333333333,33,1,3,13,4,1
227,41,15,1.2,18,1,2,12,3,1
228,2,34,1.1764705882352942,40,4,4,44,8,3
229,12,12,1.1666666666666667,14,4,2,42,6,2
230,42,6,3.5,21,1,1,11,2,0
231,60,22,1.3636363636363635,30,1,3,13,4,1
232,17,27,2.185185185185185,59,3,4,34,7,3
233,29,17,1.1764705882352942,20,2,2,22,4,1
234,40,8,1.125,9,1,1,11,2,0
235,39,7,1.2857142857142858,9,2,1,21,3,1
236,3,61,1.3278688524590163,81,4,4,44,8,3
237,17,11,2.727272727272727,30,3,2,32,5,2
238,171,4,1.0,4,1,1,11,2,0
239,10,14,1.5714285714285714,22,4,2,42,6,2
240,33,45,1.0,45,2,4,24,6,2
241,17,37,1.3513513513513513,50,3,4,34,7,3
242,65,9,1.6666666666666667,15,1,1,11,2,0
243,21,57,1.105263157894737,63,3,4,34,7,3
244,82,25,1.16,29,1,3,13,4,1
245,108,8,1.125,9,1,1,11,2,0
246,155,6,1.0,6,1,1,11,2,0
247,2,8,1.125,9,4,1,41,5,2
248,53,34,1.1176470588235294,38,1,4,14,5,2
249,2,9,1.1111111111111112,10,4,1,41,5,2
250,80,14,1.4285714285714286,20,1,2,12,3,1
251,18,5,1.2,6,3,1,31,4,1
252,39,4,1.75,7,2,1,21,3,1
253,3,32,1.21875,39,4,4,44,8,3
254,124,4,2.5,10,1,1,11,2,0
255,17,18,1.3333333333333333,24,3,3,33,6,2
256,17,17,1.411764705882353,24,3,2,32,5,2
257,17,27,1.0,27,3,4,34,7,3
258,5,16,1.0625,17,4,2,42,6,2
259,40,12,1.1666666666666667,14,1,2,12,3,1
260,66,4,1.0,4,1,1,11,2,0
261,1,105,1.2571428571428571,132,4,4,44,8,3
262,30,9,1.5555555555555556,14,2,1,21,3,1
263,4,30,1.2333333333333334,37,4,4,44,8,3
264,14,28,1.5714285714285714,44,3,4,34,7,3
265,16,8,1.0,8,3,1,31,4,1
266,75,7,1.7142857142857142,12,1,1,11,2,0
267,52,10,1.5,15,1,1,11,2,0
268,21,17,1.411764705882353,24,3,2,32,5,2
269,72,9,1.1111111111111112,10,1,1,11,2,0
270,18,29,1.7241379310344827,50,3,4,34,7,3
271,12,20,1.3,26,4,3,43,7,3
272,189,4,1.0,4,1,1,11,2,0
273,1,11,1.1818181818181819,13,4,2,42,6,2
274,18,33,1.2121212121212122,40,3,4,34,7,3
275,34,19,1.2105263157894737,23,2,3,23,5,2
276,7,30,1.3,39,4,4,44,8,3
277,16,63,1.6507936507936507,104,3,4,34,7,3
278,11,20,1.05,21,4,3,43,7,3
279,30,10,1.9,19,2,1,21,3,1
280,4,13,1.0,13,4,2,42,6,2
281,15,3,2.3333333333333335,7,3,1,31,4,1
282,12,11,1.4545454545454546,16,4,2,42,6,2
283,5,24,1.4166666666666667,34,4,3,43,7,3
284,142,4,2.5,10,1,1,11,2,0
285,74,16,1.625,26,1,2,12,3,1
286,45,14,1.4285714285714286,20,1,2,12,3,1
287,23,17,1.1764705882352942,20,2,2,22,4,1
288,79,57,1.5614035087719298,89,1,4,14,5,2
289,48,9,2.3333333333333335,21,1,1,11,2,0
290,33,11,3.272727272727273,36,2,2,22,4,1
291,27,32,1.0,32,2,4,24,6,2
292,15,15,1.2,18,3,2,32,5,2
293,30,8,1.25,10,2,1,21,3,1
294,91,14,1.3571428571428572,19,1,2,12,3,1
295,155,4,1.25,5,1,1,11,2,0
296,122,14,1.2142857142857142,17,1,2,12,3,1
297,11,30,1.5333333333333334,46,4,4,44,8,3
298,73,11,1.0909090909090908,12,1,2,12,3,1
299,24,15,1.2666666666666666,19,2,2,22,4,1
300,32,17,1.7647058823529411,30,2,2,22,4,1
301,6,26,1.3846153846153846,36,4,3,43,7,3
302,74,12,1.25,15,1,2,12,3,1
303,5,36,1.1111111111111112,40,4,4,44,8,3
304,48,15,1.1333333333333333,17,1,2,12,3,1
305,79,3,1.0,3,1,1,11,2,0
306,33,8,4.375,35,2,1,21,3,1
307,177,1,1.0,1,1,1,11,2,0
308,26,9,1.3333333333333333,12,2,1,21,3,1
309,8,33,1.1515151515151516,38,4,4,44,8,3
310,47,9,1.6666666666666667,15,1,1,11,2,0
311,43,5,1.4,7,1,1,11,2,0
312,2,44,1.3636363636363635,60,4,4,44,8,3
313,15,15,1.4666666666666666,22,3,2,32,5,2
314,43,17,1.0588235294117647,18,1,2,12,3,1
315,12,9,2.0,18,4,1,41,5,2
316,50,10,1.4,14,1,1,11,2,0
317,5,13,2.230769230769231,29,4,2,42,6,2
318,22,17,2.3529411764705883,40,2,2,22,4,1
319,5,38,1.2105263157894737,46,4,4,44,8,3
320,33,21,1.2857142857142858,27,2,3,23,5,2
321,26,3,2.6666666666666665,8,2,1,21,3,1
322,1,33,1.5151515151515151,50,4,4,44,8,3
323,123,4,1.25,5,1,1,11,2,0
324,1,24,3.7083333333333335,89,4,3,43,7,3
325,19,16,1.0625,17,3,2,32,5,2
326,20,9,1.3333333333333333,12,3,1,31,4,1
327,173,3,1.0,3,1,1,11,2,0
328,14,12,1.25,15,3,2,32,5,2
329,9,27,1.0740740740740742,29,4,4,44,8,3
330,15,20,1.4,28,3,3,33,6,2
331,185,8,1.625,13,1,1,11,2,0
332,5,16,1.375,22,4,2,42,6,2
333,32,10,1.6,16,2,1,21,3,1
334,20,7,1.5714285714285714,11,3,1,31,4,1
335,63,11,1.2727272727272727,14,1,2,12,3,1
336,12,55,1.0909090909090908,60,4,4,44,8,3
337,13,6,1.3333333333333333,8,3,1,31,4,1
338,95,13,1.5384615384615385,20,1,2,12,3,1
339,29,4,2.0,8,2,1,21,3,1
340,11,11,1.1818181818181819,13,4,2,42,6,2
341,5,19,1.263157894736842,24,4,3,43,7,3
342,40,13,1.3076923076923077,17,1,2,12,3,1
343,99,12,1.4166666666666667,17,1,2,12,3,1
344,17,48,1.4583333333333333,70,3,4,34,7,3
345,34,27,1.8148148148148149,49,2,4,24,6,2
346,17,25,1.16,29,3,3,33,6,2
347,1,22,1.3181818181818181,29,4,3,43,7,3
348,37,11,1.7272727272727273,19,2,2,22,4,1
349,25,21,1.1428571428571428,24,2,3,23,5,2
350,22,17,1.0,17,2,2,22,4,1
351,53,9,1.0,9,1,1,11,2,0
352,39,15,1.4666666666666666,22,2,2,22,4,1
353,15,49,1.3877551020408163,68,3,4,34,7,3
354,10,22,1.2272727272727273,27,4,3,43,7,3
355,3,15,1.1333333333333333,17,4,2,42,6,2
356,62,8,1.125,9,1,1,11,2,0
357,16,31,2.064516129032258,64,3,4,34,7,3
358,18,25,1.64,41,3,3,33,6,2
359,51,3,4.0,12,1,1,11,2,0
360,54,26,1.2307692307692308,32,1,3,13,4,1
361,47,8,1.125,9,1,1,11,2,0
362,23,18,1.3333333333333333,24,2,3,23,5,2
363,30,19,2.210526315789474,42,2,3,23,5,2
364,9,15,1.3333333333333333,20,4,2,42,6,2
365,18,18,1.5555555555555556,28,3,3,33,6,2
366,30,13,1.3076923076923077,17,2,2,22,4,1
367,65,9,1.1111111111111112,10,1,1,11,2,0
368,14,26,1.3076923076923077,34,3,3,33,6,2
369,4,41,1.146341463414634,47,4,4,44,8,3
370,2,49,1.3673469387755102,67,4,4,44,8,3
371,33,17,1.2352941176470589,21,2,2,22,4,1
372,28,12,1.25,15,2,2,22,4,1
373,34,26,1.2692307692307692,33,2,3,23,5,2
374,21,3,1.0,3,3,1,31,4,1
375,16,10,1.8,18,3,1,31,4,1
376,3,12,1.25,15,4,2,42,6,2
377,16,19,2.1052631578947367,40,3,3,33,6,2
378,11,57,1.3333333333333333,76,4,4,44,8,3
379,28,8,1.125,9,2,1,21,3,1
380,213,2,1.0,2,1,1,11,2,0
381,75,11,1.2727272727272727,14,1,2,12,3,1
382,16,16,1.0625,17,3,2,32,5,2
383,2,34,1.2647058823529411,43,4,4,44,8,3
384,35,16,1.5,24,2,2,22,4,1
385,11,43,1.1627906976744187,50,4,4,44,8,3
386,24,26,1.0,26,2,3,23,5,2
387,37,5,1.2,6,2,1,21,3,1
388,3,49,1.1428571428571428,56,4,4,44,8,3
389,16,1,1.0,1,3,1,31,4,1
390,4,48,1.375,66,4,4,44,8,3
391,30,6,3.0,18,2,1,21,3,1
392,5,16,1.125,18,4,2,42,6,2
393,21,10,1.5,15,3,1,31,4,1
394,37,16,1.875,30,2,2,22,4,1
395,41,26,1.3846153846153846,36,1,3,13,4,1
396,95,5,1.0,5,1,1,11,2,0
397,50,12,1.25,15,1,2,12,3,1
398,37,13,1.2307692307692308,16,2,2,22,4,1
399,9,35,1.2857142857142858,45,4,4,44,8,3
400,14,29,1.3448275862068966,39,3,4,34,7,3
401,17,22,1.0454545454545454,23,3,3,33,6,2
402,20,22,1.3181818181818181,29,3,3,33,6,2
403,126,3,1.0,3,1,1,11,2,0
404,3,27,1.4444444444444444,39,4,4,44,8,3
405,2,37,1.1891891891891893,44,4,4,44,8,3
406,45,23,1.2173913043478262,28,1,3,13,4,1
407,40,6,1.6666666666666667,10,1,1,11,2,0
408,39,43,1.3488372093023255,58,2,4,24,6,2
409,9,13,1.0769230769230769,14,4,2,42,6,2
410,2,30,1.5333333333333334,46,4,4,44,8,3
411,10,10,1.5,15,4,1,41,5,2
412,4,12,1.0833333333333333,13,4,2,42,6,2
413,68,16,1.0625,17,1,2,12,3,1
414,11,9,1.0,9,4,1,41,5,2
415,160,6,1.5,9,1,1,11,2,0
416,5,12,1.0,12,4,2,42,6,2
417,27,16,1.5625,25,2,2,22,4,1
418,23,31,1.096774193548387,34,2,4,24,6,2
419,114,4,1.75,7,1,1,11,2,0
420,52,15,1.0666666666666667,16,1,2,12,3,1
421,49,14,1.0,14,1,2,12,3,1
422,15,19,1.4736842105263157,28,3,3,33,6,2
423,1,19,1.368421052631579,26,4,3,43,7,3
424,13,43,1.2790697674418605,55,3,4,34,7,3
425,27,18,1.0555555555555556,19,2,3,23,5,2
426,73,3,2.6666666666666665,8,1,1,11,2,0
427,210,2,1.5,3,1,1,11,2,0
428,19,14,1.0,14,3,2,32,5,2
429,4,14,1.0714285714285714,15,4,2,42,6,2
430,4,25,1.52,38,4,3,43,7,3
431,12,33,1.878787878787879,62,4,4,44,8,3
432,14,9,1.7777777777777777,16,3,1,31,4,1
433,26,6,1.3333333333333333,8,2,1,21,3,1
434,23,9,1.0,9,2,1,21,3,1
435,55,30,1.1,33,1,4,14,5,2
436,39,5,1.4,7,2,1,21,3,1
437,4,18,1.1111111111111112,20,4,3,43,7,3
438,115,10,1.6,16,1,1,11,2,0
439,34,57,1.8596491228070176,106,2,4,24,6,2
440,47,8,1.0,8,1,1,11,2,0
441,106,9,1.0,9,1,1,11,2,0
442,15,32,1.15625,37,3,4,34,7,3
443,13,9,1.0,9,3,1,31,4,1
444,30,24,1.1666666666666667,28,2,3,23,5,2
445,98,18,1.6111111111111112,29,1,3,13,4,1
446,72,18,1.1666666666666667,21,1,3,13,4,1
447,28,11,1.0,11,2,2,22,4,1
448,26,5,1.8,9,2,1,21,3,1
449,81,27,1.2222222222222223,33,1,4,14,5,2
450,1,18,1.1666666666666667,21,4,3,43,7,3
451,121,10,1.7,17,1,1,11,2,0
452,113,11,1.5454545454545454,17,1,2,12,3,1
453,2,10,2.4,24,4,1,41,5,2
454,33,49,1.1020408163265305,54,2,4,24,6,2
455,10,9,1.4444444444444444,13,4,1,41,5,2
456,18,9,1.4444444444444444,13,3,1,31,4,1
457,13,16,1.0,16,3,2,32,5,2
458,17,83,1.2650602409638554,105,3,4,34,7,3
459,15,51,1.1568627450980393,59,3,4,34,7,3
460,1,45,1.0666666666666667,48,4,4,44,8,3
461,19,42,1.1666666666666667,49,3,4,34,7,3
462,8,7,1.4285714285714286,10,4,1,41,5,2
463,18,58,1.3620689655172413,79,3,4,34,7,3
464,24,9,1.8888888888888888,17,2,1,21,3,1
465,28,15,1.5333333333333334,23,2,2,22,4,1
466,94,10,2.0,20,1,1,11,2,0
467,16,3,1.0,3,3,1,31,4,1
468,1,11,1.0909090909090908,12,4,2,42,6,2
469,24,14,1.0714285714285714,15,2,2,22,4,1
470,42,8,1.125,9,1,1,11,2,0
471,18,52,1.0961538461538463,57,3,4,34,7,3
472,13,54,1.2222222222222223,66,3,4,34,7,3
473,73,24,1.8333333333333333,44,1,3,13,4,1
474,13,54,1.0925925925925926,59,3,4,34,7,3
475,73,4,1.25,5,1,1,11,2,0
476,18,4,1.5,6,3,1,31,4,1
477,12,39,2.0,78,4,4,44,8,3
478,17,3,1.0,3,3,1,31,4,1
479,15,15,3.3333333333333335,50,3,2,32,5,2
480,27,12,1.0,12,2,2,22,4,1
481,11,23,1.434782608695652,33,4,3,43,7,3
482,20,20,1.35,27,3,3,33,6,2
483,54,7,2.5714285714285716,18,1,1,11,2,0
484,32,23,1.7826086956521738,41,2,3,23,5,2
485,100,16,1.4375,23,1,2,12,3,1
486,130,6,1.5,9,1,1,11,2,0
487,66,21,1.2380952380952381,26,1,3,13,4,1
488,15,41,1.2195121951219512,50,3,4,34,7,3
489,4,37,1.1891891891891893,44,4,4,44,8,3
490,5,21,1.5714285714285714,33,4,3,43,7,3
491,10,37,1.4054054054054055,52,4,4,44,8,3
492,35,4,1.5,6,2,1,21,3,1
493,37,32,1.28125,41,2,4,24,6,2
494,42,8,1.625,13,1,1,11,2,0
495,79,24,1.4583333333333333,35,1,3,13,4,1
496,12,46,1.2173913043478262,56,4,4,44,8,3
497,39,15,1.1333333333333333,17,2,2,22,4,1
498,18,22,1.4090909090909092,31,3,3,33,6,2
499,35,17,1.0,17,2,2,22,4,1
500,3,7,1.1428571428571428,8,4,1,41,5,2
501,14,29,1.5517241379310345,45,3,4,34,7,3
502,9,45,1.3333333333333333,60,4,4,44,8,3
503,24,6,1.1666666666666667,7,2,1,21,3,1
504,112,20,1.4,28,1,3,13,4,1
505,24,10,1.0,10,2,1,21,3,1
506,20,35,1.4857142857142858,52,3,4,34,7,3
507,13,16,1.125,18,3,2,32,5,2
508,5,55,1.0363636363636364,57,4,4,44,8,3
509,27,13,4.461538461538462,58,2,2,22,4,1
510,41,25,1.56,39,1,3,13,4,1
511,33,3,1.0,3,2,1,21,3,1
512,37,18,1.1111111111111112,20,2,3,23,5,2
513,2,17,1.4705882352941178,25,4,2,42,6,2
514,91,14,1.2857142857142858,18,1,2,12,3,1
515,53,15,1.5333333333333334,23,1,2,12,3,1
516,41,13,1.5384615384615385,20,1,2,12,3,1
517,20,21,1.380952380952381,29,3,3,33,6,2
518,19,26,1.4615384615384615,38,3,3,33,6,2
519,17,19,1.4736842105263157,28,3,3,33,6,2
520,84,4,1.75,7,1,1,11,2,0
521,88,6,1.3333333333333333,8,1,1,11,2,0
522,3,24,1.125,27,4,3,43,7,3
523,61,12,1.25,15,1,2,12,3,1
524,23,34,5.676470588235294,193,2,4,24,6,2
525,29,30,1.1333333333333333,34,2,4,24,6,2
526,4,15,1.0666666666666667,16,4,2,42,6,2
527,16,16,1.0625,17,3,2,32,5,2
528,4,43,1.3488372093023255,58,4,4,44,8,3
529,114,10,1.1,11,1,1,11,2,0
530,25,27,1.5185185185185186,41,2,4,24,6,2
531,9,22,1.5,33,4,3,43,7,3
532,39,26,1.1538461538461537,30,2,3,23,5,2
533,33,32,1.1875,38,2,4,24,6,2
534,6,19,2.0526315789473686,39,4,3,43,7,3
535,3,9,1.0,9,4,1,41,5,2
536,26,20,1.15,23,2,3,23,5,2
537,3,22,1.1818181818181819,26,4,3,43,7,3
538,190,1,1.0,1,1,1,11,2,0
539,5,31,1.6129032258064515,50,4,4,44,8,3
540,60,5,2.0,10,1,1,11,2,0
541,19,13,1.3846153846153846,18,3,2,32,5,2
542,13,52,1.2115384615384615,63,3,4,34,7,3
543,3,37,1.054054054054054,39,4,4,44,8,3
544,17,21,1.2380952380952381,26,3,3,33,6,2
545,23,22,1.0909090909090908,24,2,3,23,5,2
546,13,12,1.0833333333333333,13,3,2,32,5,2
547,50,7,1.5714285714285714,11,1,1,11,2,0
548,41,18,1.1666666666666667,21,1,3,13,4,1
549,59,12,1.3333333333333333,16,1,2,12,3,1
550,23,26,1.1153846153846154,29,2,3,23,5,2
551,31,4,1.0,4,2,1,21,3,1
552,19,23,1.565217391304348,36,3,3,33,6,2
553,4,41,1.146341463414634,47,4,4,44,8,3
554,6,26,1.6538461538461537,43,4,3,43,7,3
555,87,15,1.4,21,1,2,12,3,1
556,19,9,2.0,18,3,1,31,4,1
557,62,26,1.3461538461538463,35,1,3,13,4,1
